"Name","Municipal class","CD","CSD","CSDtype","unittype","pr","CWEIGHT","Pop20","Cellid","value","source","year","province","province_name","road_condition"
"DISTRICT MUNICIPALITY OF LAKE COUNTRY","Rural","5935","5935016","DM","CSD","59",1.04718487257351,"15654","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT MUNICIPALITY OF LAKE COUNTRY","Rural","5935","5935016","DM","CSD","59",1.04718487257351,"15654","C5F06204",35,"00","2020","59","British Columbia","poor"
"DISTRICT MUNICIPALITY OF LAKE COUNTRY","Rural","5935","5935016","DM","CSD","59",1.04718487257351,"15654","C5F06304",0,"00","2020","59","British Columbia","fair"
"DISTRICT MUNICIPALITY OF LAKE COUNTRY","Rural","5935","5935016","DM","CSD","59",1.04718487257351,"15654","C5F06404",65,"00","2020","59","British Columbia","good"
"DISTRICT MUNICIPALITY OF LAKE COUNTRY","Rural","5935","5935016","DM","CSD","59",1.04718487257351,"15654","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT MUNICIPALITY OF LAKE COUNTRY","Rural","5935","5935016","DM","CSD","59",1.04718487257351,"15654","C5F06604",0,"21","2020","59","British Columbia","do not know"
"CITY OF LANGFORD","Urban","5917","5917044","CY","CSD","59",1.14285714285714,"44069","C5F06104",0,"00","2020","59","British Columbia","very poor"
"CITY OF LANGFORD","Urban","5917","5917044","CY","CSD","59",1.14285714285714,"44069","C5F06204",6,"00","2020","59","British Columbia","poor"
"CITY OF LANGFORD","Urban","5917","5917044","CY","CSD","59",1.14285714285714,"44069","C5F06304",15,"00","2020","59","British Columbia","fair"
"CITY OF LANGFORD","Urban","5917","5917044","CY","CSD","59",1.14285714285714,"44069","C5F06404",41,"00","2020","59","British Columbia","good"
"CITY OF LANGFORD","Urban","5917","5917044","CY","CSD","59",1.14285714285714,"44069","C5F06504",38,"00","2020","59","British Columbia","very good"
"CITY OF LANGFORD","Urban","5917","5917044","CY","CSD","59",1.14285714285714,"44069","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF HIGHLANDS","Rural","5917","5917049","DM","CSD","59",1.18425551045912,"2451","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF HIGHLANDS","Rural","5917","5917049","DM","CSD","59",1.18425551045912,"2451","C5F06204",0,"00","2020","59","British Columbia","poor"
"DISTRICT OF HIGHLANDS","Rural","5917","5917049","DM","CSD","59",1.18425551045912,"2451","C5F06304",20,"00","2020","59","British Columbia","fair"
"DISTRICT OF HIGHLANDS","Rural","5917","5917049","DM","CSD","59",1.18425551045912,"2451","C5F06404",80,"00","2020","59","British Columbia","good"
"DISTRICT OF HIGHLANDS","Rural","5917","5917049","DM","CSD","59",1.18425551045912,"2451","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF HIGHLANDS","Rural","5917","5917049","DM","CSD","59",1.18425551045912,"2451","C5F06604",0,"21","2020","59","British Columbia","do not know"
"NORTHERN ROCKIES REGIONAL MUNICIPALITY","Rural","5959","5959007","RGM","CSD","59",1.1120423830849,"4411","C5F06104",0,"00","2020","59","British Columbia","very poor"
"NORTHERN ROCKIES REGIONAL MUNICIPALITY","Rural","5959","5959007","RGM","CSD","59",1.1120423830849,"4411","C5F06204",5,"00","2020","59","British Columbia","poor"
"NORTHERN ROCKIES REGIONAL MUNICIPALITY","Rural","5959","5959007","RGM","CSD","59",1.1120423830849,"4411","C5F06304",0,"00","2020","59","British Columbia","fair"
"NORTHERN ROCKIES REGIONAL MUNICIPALITY","Rural","5959","5959007","RGM","CSD","59",1.1120423830849,"4411","C5F06404",95,"00","2020","59","British Columbia","good"
"NORTHERN ROCKIES REGIONAL MUNICIPALITY","Rural","5959","5959007","RGM","CSD","59",1.1120423830849,"4411","C5F06504",0,"00","2020","59","British Columbia","very good"
"NORTHERN ROCKIES REGIONAL MUNICIPALITY","Rural","5959","5959007","RGM","CSD","59",1.1120423830849,"4411","C5F06604",0,"21","2020","59","British Columbia","do not know"
"CAPITAL REGIONAL DISTRICT","N/A","5917","N/A","N/A","CD","59",1.07692307692308,"N/A","C5F06104",0,"21","2020","59","British Columbia","very poor"
"CAPITAL REGIONAL DISTRICT","N/A","5917","N/A","N/A","CD","59",1.07692307692308,"N/A","C5F06204",13,"21","2020","59","British Columbia","poor"
"CAPITAL REGIONAL DISTRICT","N/A","5917","N/A","N/A","CD","59",1.07692307692308,"N/A","C5F06304",23,"21","2020","59","British Columbia","fair"
"CAPITAL REGIONAL DISTRICT","N/A","5917","N/A","N/A","CD","59",1.07692307692308,"N/A","C5F06404",53,"21","2020","59","British Columbia","good"
"CAPITAL REGIONAL DISTRICT","N/A","5917","N/A","N/A","CD","59",1.07692307692308,"N/A","C5F06504",11,"21","2020","59","British Columbia","very good"
"CAPITAL REGIONAL DISTRICT","N/A","5917","N/A","N/A","CD","59",1.07692307692308,"N/A","C5F06604",0,"21","2020","59","British Columbia","do not know"
"BOWEN ISLAND MUNICIPALITY","Rural","5915","5915062","IM","CSD","59",1.1217711865472,"3982","C5F06104",21,"00","2020","59","British Columbia","very poor"
"BOWEN ISLAND MUNICIPALITY","Rural","5915","5915062","IM","CSD","59",1.1217711865472,"3982","C5F06204",30,"00","2020","59","British Columbia","poor"
"BOWEN ISLAND MUNICIPALITY","Rural","5915","5915062","IM","CSD","59",1.1217711865472,"3982","C5F06304",48,"00","2020","59","British Columbia","fair"
"BOWEN ISLAND MUNICIPALITY","Rural","5915","5915062","IM","CSD","59",1.1217711865472,"3982","C5F06404",0,"00","2020","59","British Columbia","good"
"BOWEN ISLAND MUNICIPALITY","Rural","5915","5915062","IM","CSD","59",1.1217711865472,"3982","C5F06504",0,"00","2020","59","British Columbia","very good"
"BOWEN ISLAND MUNICIPALITY","Rural","5915","5915062","IM","CSD","59",1.1217711865472,"3982","C5F06604",1,"21","2020","59","British Columbia","do not know"
"DISTRICT OF SOOKE","Rural","5917","5917052","DM","CSD","59",1.0481481768738,"15083","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF SOOKE","Rural","5917","5917052","DM","CSD","59",1.0481481768738,"15083","C5F06204",0,"00","2020","59","British Columbia","poor"
"DISTRICT OF SOOKE","Rural","5917","5917052","DM","CSD","59",1.0481481768738,"15083","C5F06304",25,"00","2020","59","British Columbia","fair"
"DISTRICT OF SOOKE","Rural","5917","5917052","DM","CSD","59",1.0481481768738,"15083","C5F06404",75,"00","2020","59","British Columbia","good"
"DISTRICT OF SOOKE","Rural","5917","5917052","DM","CSD","59",1.0481481768738,"15083","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF SOOKE","Rural","5917","5917052","DM","CSD","59",1.0481481768738,"15083","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF LANTZVILLE","Urban","5921","5921008","DM","CSD","59",1.16,"3816","C5F06104",65,"00","2020","59","British Columbia","very poor"
"DISTRICT OF LANTZVILLE","Urban","5921","5921008","DM","CSD","59",1.16,"3816","C5F06204",25,"00","2020","59","British Columbia","poor"
"DISTRICT OF LANTZVILLE","Urban","5921","5921008","DM","CSD","59",1.16,"3816","C5F06304",10,"00","2020","59","British Columbia","fair"
"DISTRICT OF LANTZVILLE","Urban","5921","5921008","DM","CSD","59",1.16,"3816","C5F06404",0,"00","2020","59","British Columbia","good"
"DISTRICT OF LANTZVILLE","Urban","5921","5921008","DM","CSD","59",1.16,"3816","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF LANTZVILLE","Urban","5921","5921008","DM","CSD","59",1.16,"3816","C5F06604",0,"21","2020","59","British Columbia","do not know"
"THE CORPORATION OF THE VILLAGE OF CANAL FLATS","Rural","5901","5901043","VL","CSD","59",2.1912242865862,"733","C5F06104",0,"00","2020","59","British Columbia","very poor"
"THE CORPORATION OF THE VILLAGE OF CANAL FLATS","Rural","5901","5901043","VL","CSD","59",2.1912242865862,"733","C5F06204",30,"00","2020","59","British Columbia","poor"
"THE CORPORATION OF THE VILLAGE OF CANAL FLATS","Rural","5901","5901043","VL","CSD","59",2.1912242865862,"733","C5F06304",50,"00","2020","59","British Columbia","fair"
"THE CORPORATION OF THE VILLAGE OF CANAL FLATS","Rural","5901","5901043","VL","CSD","59",2.1912242865862,"733","C5F06404",20,"00","2020","59","British Columbia","good"
"THE CORPORATION OF THE VILLAGE OF CANAL FLATS","Rural","5901","5901043","VL","CSD","59",2.1912242865862,"733","C5F06504",0,"00","2020","59","British Columbia","very good"
"THE CORPORATION OF THE VILLAGE OF CANAL FLATS","Rural","5901","5901043","VL","CSD","59",2.1912242865862,"733","C5F06604",0,"21","2020","59","British Columbia","do not know"
"CITY OF WEST KELOWNA","Urban","5935","5935029","DM","CSD","59",1.14285714285714,"36496","C5F06104",3,"00","2020","59","British Columbia","very poor"
"CITY OF WEST KELOWNA","Urban","5935","5935029","DM","CSD","59",1.14285714285714,"36496","C5F06204",3,"00","2020","59","British Columbia","poor"
"CITY OF WEST KELOWNA","Urban","5935","5935029","DM","CSD","59",1.14285714285714,"36496","C5F06304",15,"00","2020","59","British Columbia","fair"
"CITY OF WEST KELOWNA","Urban","5935","5935029","DM","CSD","59",1.14285714285714,"36496","C5F06404",33,"00","2020","59","British Columbia","good"
"CITY OF WEST KELOWNA","Urban","5935","5935029","DM","CSD","59",1.14285714285714,"36496","C5F06504",46,"00","2020","59","British Columbia","very good"
"CITY OF WEST KELOWNA","Urban","5935","5935029","DM","CSD","59",1.14285714285714,"36496","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF BARRIERE","Rural","5933","5933074","DM","CSD","59",1.23350289834528,"1881","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF BARRIERE","Rural","5933","5933074","DM","CSD","59",1.23350289834528,"1881","C5F06204",50,"00","2020","59","British Columbia","poor"
"DISTRICT OF BARRIERE","Rural","5933","5933074","DM","CSD","59",1.23350289834528,"1881","C5F06304",50,"00","2020","59","British Columbia","fair"
"DISTRICT OF BARRIERE","Rural","5933","5933074","DM","CSD","59",1.23350289834528,"1881","C5F06404",0,"00","2020","59","British Columbia","good"
"DISTRICT OF BARRIERE","Rural","5933","5933074","DM","CSD","59",1.23350289834528,"1881","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF BARRIERE","Rural","5933","5933074","DM","CSD","59",1.23350289834528,"1881","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF TUMBLER RIDGE","Urban","5955","5955003","DM","CSD","59",1.16,"2208","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF TUMBLER RIDGE","Urban","5955","5955003","DM","CSD","59",1.16,"2208","C5F06204",60,"00","2020","59","British Columbia","poor"
"DISTRICT OF TUMBLER RIDGE","Urban","5955","5955003","DM","CSD","59",1.16,"2208","C5F06304",40,"00","2020","59","British Columbia","fair"
"DISTRICT OF TUMBLER RIDGE","Urban","5955","5955003","DM","CSD","59",1.16,"2208","C5F06404",0,"00","2020","59","British Columbia","good"
"DISTRICT OF TUMBLER RIDGE","Urban","5955","5955003","DM","CSD","59",1.16,"2208","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF TUMBLER RIDGE","Urban","5955","5955003","DM","CSD","59",1.16,"2208","C5F06604",0,"21","2020","59","British Columbia","do not know"
"VILLAGE OF BELCARRA","Rural","5915","5915036","VL","CSD","59",2.2590509882781,"673","C5F06104",0,"00","2020","59","British Columbia","very poor"
"VILLAGE OF BELCARRA","Rural","5915","5915036","VL","CSD","59",2.2590509882781,"673","C5F06204",50,"00","2020","59","British Columbia","poor"
"VILLAGE OF BELCARRA","Rural","5915","5915036","VL","CSD","59",2.2590509882781,"673","C5F06304",50,"00","2020","59","British Columbia","fair"
"VILLAGE OF BELCARRA","Rural","5915","5915036","VL","CSD","59",2.2590509882781,"673","C5F06404",0,"00","2020","59","British Columbia","good"
"VILLAGE OF BELCARRA","Rural","5915","5915036","VL","CSD","59",2.2590509882781,"673","C5F06504",0,"00","2020","59","British Columbia","very good"
"VILLAGE OF BELCARRA","Rural","5915","5915036","VL","CSD","59",2.2590509882781,"673","C5F06604",0,"00","2020","59","British Columbia","do not know"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06104",0,"00","2020","59","British Columbia","very poor"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06204",0,"00","2020","59","British Columbia","poor"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06304",5,"00","2020","59","British Columbia","fair"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06404",35,"00","2020","59","British Columbia","good"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06504",60,"00","2020","59","British Columbia","very good"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06604",0,"21","2020","59","British Columbia","do not know"
"CORPORATION OF THE DISTRICT OF SUMMERLAND","Urban","5907","5907035","DM","CSD","59",1.10526315789474,"12642","C5F06104",0,"00","2020","59","British Columbia","very poor"
"CORPORATION OF THE DISTRICT OF SUMMERLAND","Urban","5907","5907035","DM","CSD","59",1.10526315789474,"12642","C5F06204",20,"00","2020","59","British Columbia","poor"
"CORPORATION OF THE DISTRICT OF SUMMERLAND","Urban","5907","5907035","DM","CSD","59",1.10526315789474,"12642","C5F06304",20,"00","2020","59","British Columbia","fair"
"CORPORATION OF THE DISTRICT OF SUMMERLAND","Urban","5907","5907035","DM","CSD","59",1.10526315789474,"12642","C5F06404",20,"00","2020","59","British Columbia","good"
"CORPORATION OF THE DISTRICT OF SUMMERLAND","Urban","5907","5907035","DM","CSD","59",1.10526315789474,"12642","C5F06504",20,"00","2020","59","British Columbia","very good"
"CORPORATION OF THE DISTRICT OF SUMMERLAND","Urban","5907","5907035","DM","CSD","59",1.10526315789474,"12642","C5F06604",20,"21","2020","59","British Columbia","do not know"
"CITY OF POWELL RIVER","Urban","5927","5927008","CY","CSD","59",1.10526315789474,"13865","C5F06104",74,"00","2020","59","British Columbia","very poor"
"CITY OF POWELL RIVER","Urban","5927","5927008","CY","CSD","59",1.10526315789474,"13865","C5F06204",17,"00","2020","59","British Columbia","poor"
"CITY OF POWELL RIVER","Urban","5927","5927008","CY","CSD","59",1.10526315789474,"13865","C5F06304",1,"00","2020","59","British Columbia","fair"
"CITY OF POWELL RIVER","Urban","5927","5927008","CY","CSD","59",1.10526315789474,"13865","C5F06404",4,"00","2020","59","British Columbia","good"
"CITY OF POWELL RIVER","Urban","5927","5927008","CY","CSD","59",1.10526315789474,"13865","C5F06504",4,"00","2020","59","British Columbia","very good"
"CITY OF POWELL RIVER","Urban","5927","5927008","CY","CSD","59",1.10526315789474,"13865","C5F06604",0,"21","2020","59","British Columbia","do not know"
"THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Rural","5919","5919008","DM","CSD","59",1.03400480087172,"32475","C5F06104",0,"00","2020","59","British Columbia","very poor"
"THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Rural","5919","5919008","DM","CSD","59",1.03400480087172,"32475","C5F06204",10,"00","2020","59","British Columbia","poor"
"THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Rural","5919","5919008","DM","CSD","59",1.03400480087172,"32475","C5F06304",34,"00","2020","59","British Columbia","fair"
"THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Rural","5919","5919008","DM","CSD","59",1.03400480087172,"32475","C5F06404",54,"00","2020","59","British Columbia","good"
"THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Rural","5919","5919008","DM","CSD","59",1.03400480087172,"32475","C5F06504",2,"00","2020","59","British Columbia","very good"
"THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Rural","5919","5919008","DM","CSD","59",1.03400480087172,"32475","C5F06604",0,"21","2020","59","British Columbia","do not know"
"THE CORPORATION OF THE CITY OF DAWSON CREEK","Urban","5955","5955014","CY","CSD","59",1.10526315789474,"13115","C5F06104",0,"00","2020","59","British Columbia","very poor"
"THE CORPORATION OF THE CITY OF DAWSON CREEK","Urban","5955","5955014","CY","CSD","59",1.10526315789474,"13115","C5F06204",0,"00","2020","59","British Columbia","poor"
"THE CORPORATION OF THE CITY OF DAWSON CREEK","Urban","5955","5955014","CY","CSD","59",1.10526315789474,"13115","C5F06304",0,"00","2020","59","British Columbia","fair"
"THE CORPORATION OF THE CITY OF DAWSON CREEK","Urban","5955","5955014","CY","CSD","59",1.10526315789474,"13115","C5F06404",0,"00","2020","59","British Columbia","good"
"THE CORPORATION OF THE CITY OF DAWSON CREEK","Urban","5955","5955014","CY","CSD","59",1.10526315789474,"13115","C5F06504",0,"00","2020","59","British Columbia","very good"
"THE CORPORATION OF THE CITY OF DAWSON CREEK","Urban","5955","5955014","CY","CSD","59",1.10526315789474,"13115","C5F06604",100,"21","2020","59","British Columbia","do not know"
"DISTRICT OF LOGAN LAKE","Rural","5933","5933035","DM","CSD","59",1.19552955252887,"2292","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF LOGAN LAKE","Rural","5933","5933035","DM","CSD","59",1.19552955252887,"2292","C5F06204",10,"00","2020","59","British Columbia","poor"
"DISTRICT OF LOGAN LAKE","Rural","5933","5933035","DM","CSD","59",1.19552955252887,"2292","C5F06304",20,"00","2020","59","British Columbia","fair"
"DISTRICT OF LOGAN LAKE","Rural","5933","5933035","DM","CSD","59",1.19552955252887,"2292","C5F06404",2,"99","2020","59","British Columbia","good"
"DISTRICT OF LOGAN LAKE","Rural","5933","5933035","DM","CSD","59",1.19552955252887,"2292","C5F06504",68,"00","2020","59","British Columbia","very good"
"DISTRICT OF LOGAN LAKE","Rural","5933","5933035","DM","CSD","59",1.19552955252887,"2292","C5F06604",0,"00","2020","59","British Columbia","do not know"
"THE CORPORATION OF THE VILLAGE OF VALEMOUNT","Rural","5953","5953007","VL","CSD","59",1.39965909954261,"1054","C5F06104",0,"00","2020","59","British Columbia","very poor"
"THE CORPORATION OF THE VILLAGE OF VALEMOUNT","Rural","5953","5953007","VL","CSD","59",1.39965909954261,"1054","C5F06204",0,"00","2020","59","British Columbia","poor"
"THE CORPORATION OF THE VILLAGE OF VALEMOUNT","Rural","5953","5953007","VL","CSD","59",1.39965909954261,"1054","C5F06304",50,"00","2020","59","British Columbia","fair"
"THE CORPORATION OF THE VILLAGE OF VALEMOUNT","Rural","5953","5953007","VL","CSD","59",1.39965909954261,"1054","C5F06404",50,"00","2020","59","British Columbia","good"
"THE CORPORATION OF THE VILLAGE OF VALEMOUNT","Rural","5953","5953007","VL","CSD","59",1.39965909954261,"1054","C5F06504",0,"00","2020","59","British Columbia","very good"
"THE CORPORATION OF THE VILLAGE OF VALEMOUNT","Rural","5953","5953007","VL","CSD","59",1.39965909954261,"1054","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF VANDERHOOF","Rural","5951","5951007","DM","CSD","59",1.10712555003599,"4665","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF VANDERHOOF","Rural","5951","5951007","DM","CSD","59",1.10712555003599,"4665","C5F06204",0,"00","2020","59","British Columbia","poor"
"DISTRICT OF VANDERHOOF","Rural","5951","5951007","DM","CSD","59",1.10712555003599,"4665","C5F06304",0,"00","2020","59","British Columbia","fair"
"DISTRICT OF VANDERHOOF","Rural","5951","5951007","DM","CSD","59",1.10712555003599,"4665","C5F06404",0,"00","2020","59","British Columbia","good"
"DISTRICT OF VANDERHOOF","Rural","5951","5951007","DM","CSD","59",1.10712555003599,"4665","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF VANDERHOOF","Rural","5951","5951007","DM","CSD","59",1.10712555003599,"4665","C5F06604",100,"21","2020","59","British Columbia","do not know"
"THE DISTRICT OF UCLUELET","Urban","5923","5923019","DM","CSD","59",1.16,"1941","C5F06104",100,"00","2020","59","British Columbia","very poor"
"THE DISTRICT OF UCLUELET","Urban","5923","5923019","DM","CSD","59",1.16,"1941","C5F06204",0,"00","2020","59","British Columbia","poor"
"THE DISTRICT OF UCLUELET","Urban","5923","5923019","DM","CSD","59",1.16,"1941","C5F06304",0,"00","2020","59","British Columbia","fair"
"THE DISTRICT OF UCLUELET","Urban","5923","5923019","DM","CSD","59",1.16,"1941","C5F06404",0,"00","2020","59","British Columbia","good"
"THE DISTRICT OF UCLUELET","Urban","5923","5923019","DM","CSD","59",1.16,"1941","C5F06504",0,"00","2020","59","British Columbia","very good"
"THE DISTRICT OF UCLUELET","Urban","5923","5923019","DM","CSD","59",1.16,"1941","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF TOFINO","Rural","5923","5923025","DM","CSD","59",1.17968030705637,"2522","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF TOFINO","Rural","5923","5923025","DM","CSD","59",1.17968030705637,"2522","C5F06204",10,"00","2020","59","British Columbia","poor"
"DISTRICT OF TOFINO","Rural","5923","5923025","DM","CSD","59",1.17968030705637,"2522","C5F06304",20,"00","2020","59","British Columbia","fair"
"DISTRICT OF TOFINO","Rural","5923","5923025","DM","CSD","59",1.17968030705637,"2522","C5F06404",70,"00","2020","59","British Columbia","good"
"DISTRICT OF TOFINO","Rural","5923","5923025","DM","CSD","59",1.17968030705637,"2522","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF TOFINO","Rural","5923","5923025","DM","CSD","59",1.17968030705637,"2522","C5F06604",0,"21","2020","59","British Columbia","do not know"
"CORPORATION OF THE VILLAGE OF TELKWA","Urban","5951","5951038","VL","CSD","59",1.16,"1432","C5F06104",0,"00","2020","59","British Columbia","very poor"
"CORPORATION OF THE VILLAGE OF TELKWA","Urban","5951","5951038","VL","CSD","59",1.16,"1432","C5F06204",50,"00","2020","59","British Columbia","poor"
"CORPORATION OF THE VILLAGE OF TELKWA","Urban","5951","5951038","VL","CSD","59",1.16,"1432","C5F06304",50,"00","2020","59","British Columbia","fair"
"CORPORATION OF THE VILLAGE OF TELKWA","Urban","5951","5951038","VL","CSD","59",1.16,"1432","C5F06404",0,"00","2020","59","British Columbia","good"
"CORPORATION OF THE VILLAGE OF TELKWA","Urban","5951","5951038","VL","CSD","59",1.16,"1432","C5F06504",0,"00","2020","59","British Columbia","very good"
"CORPORATION OF THE VILLAGE OF TELKWA","Urban","5951","5951038","VL","CSD","59",1.16,"1432","C5F06604",0,"21","2020","59","British Columbia","do not know"
"DISTRICT OF SECHELT","Urban","5929","5929011","DM","CSD","59",1.10526315789474,"10872","C5F06104",0,"00","2020","59","British Columbia","very poor"
"DISTRICT OF SECHELT","Urban","5929","5929011","DM","CSD","59",1.10526315789474,"10872","C5F06204",0,"00","2020","59","British Columbia","poor"
"DISTRICT OF SECHELT","Urban","5929","5929011","DM","CSD","59",1.10526315789474,"10872","C5F06304",0,"00","2020","59","British Columbia","fair"
"DISTRICT OF SECHELT","Urban","5929","5929011","DM","CSD","59",1.10526315789474,"10872","C5F06404",0,"00","2020","59","British Columbia","good"
"DISTRICT OF SECHELT","Urban","5929","5929011","DM","CSD","59",1.10526315789474,"10872","C5F06504",0,"00","2020","59","British Columbia","very good"
"DISTRICT OF SECHELT","Urban","5929","5929011","DM","CSD","59",1.10526315789474,"10872","C5F06604",100,"21","2020","59","British Columbia","do not know"
"THE CORPORATION OF THE VILLAGE OF SALMO","Urban","5903","5903011","VL","CSD","59",1.16,"1333","C5F06104",0,"00","2020","59","British Columbia","very poor"
"THE CORPORATION OF THE VILLAGE OF SALMO","Urban","5903","5903011","VL","CSD","59",1.16,"1333","C5F06204",50,"00","2020","59","British Columbia","poor"
"THE CORPORATION OF THE VILLAGE OF SALMO","Urban","5903","5903011","VL","CSD","59",1.16,"1333","C5F06304",50,"00","2020","59","British Columbia","fair"
"THE CORPORATION OF THE VILLAGE OF SALMO","Urban","5903","5903011","VL","CSD","59",1.16,"1333","C5F06404",0,"00","2020","59","British Columbia","good"
"THE CORPORATION OF THE VILLAGE OF SALMO","Urban","5903","5903011","VL","CSD","59",1.16,"1333","C5F06504",0,"00","2020","59","British Columbia","very good"
"THE CORPORATION OF THE VILLAGE OF SALMO","Urban","5903","5903011","VL","CSD","59",1.16,"1333","C5F06604",0,"21","2020","59","British Columbia","do not know"
"TOWN OF VIEW ROYAL","Urban","5917","5917047","T","CSD","59",1.10526315789474,"11829","C5F06104",0,"00","2020","59","British Columbia","very poor"
"TOWN OF VIEW ROYAL","Urban","5917","5917047","T","CSD","59",1.10526315789474,"11829","C5F06204",5,"00","2020","59","British Columbia","poor"
"TOWN OF VIEW ROYAL","Urban","5917","5917047","T","CSD","59",1.10526315789474,"11829","C5F06304",15,"00","2020","59","British Columbia","fair"
